Entity,Year,Records,Organization type,Method
21st Century Oncology,2016,2200000,healthcare,external threat actor
500px,2020,14870304,web,external threat actor
Accendo Insurance Co.,2020,175350,healthcare,negligence
Adobe Systems Incorporated,2013,152000000,tech,external threat actor
Adobe Inc.,2019,7500000,tech,negligence
Advocate Medical Group,2017,4000000,healthcare,lost / stolen hardware
AerServ (subsidiary of InMobi),2018,75000,advertising,external threat actor
"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen hardware
Airtel,2019,320000000,telecommunications,negligence
Air Canada,2018,20000,transport,external threat actor
TD Ameritrade,2005,200000,financial,lost / stolen hardware
Ancestry.com,2021,300000,web,negligence
Animal Jam,2020,46000000,tech,external threat actor
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,external threat actor
Anthem Inc.,2021,80000000,healthcare,external threat actor
AOL,2021,92000000,web,insider threat
AOL,2021,20000000,web,accidentally uploaded
AOL,2014,2400000,web,external threat actor
"Apple, Inc./BlueToad",2021,12367232,tech,accidentally uploaded
Apple,2021,275000,tech,external threat actor
Apple Health Medicaid,2021,91000,healthcare,negligence
Ashley Madison,2015,32000000,web,external threat actor
AT&T,2008,113000,telecommunications,lost / stolen hardware
AT&T,2010,114000,telecommunications,external threat actor
Auction.co.kr,2008,18000000,web,external threat actor
Automatic Data Processing,2005,125000,financial,negligence
"AvMed, Inc.",2009,1220000,healthcare,lost / stolen hardware
Bailey's Inc.,2015,250000,retail,external threat actor
The Bank of New York Mellon,2008,12500000,financial,lost / stolen hardware
Bank of America,2005,1200000,financial,lost / stolen hardware
Bell Canada,2017,1900000,telecommunications,negligence
Bell Canada,2018,100000,telecommunications,external threat actor
Benesse,2014,35040000,academic,external threat actor
Betfair,2010,2300000,web,external threat actor
Bethesda Game Studios,2011,200000,tech,external threat actor
Blank Media Games,2018,7633234,tech,external threat actor
Blizzard Entertainment,2012,14000000,tech,external threat actor
BlueCross BlueShield of Tennessee,2009,1023209,healthcare,lost / stolen hardware
BMO and Simplii,2018,90000,financial,negligence
2018 British Airways cyberattack,2018,500000,transport,external threat actor
California Department of Child Support Services,2012,800000,government,lost / stolen hardware
